x,y,z,t0,t1,t2,t3,xc_px,yc_px,xc,yc,diagonal
0.11,-0.03,0.12,64.74488129694222,120.19852829231576,164.66865798218828,44.470129689872536,-29.0,56.0,0.522,1.008,77.62087348130012
0.11,-0.04,0.12,60.016893478100016,118.36017428389415,163.80218537193858,45.442011088044424,-42.0,66.0,0.756,1.188,75.96051605933177
0.11,-0.05,0.12,55.55604521958347,116.07086228602692,162.6635340415101,46.59267175548318,-54.0,61.0,0.972,1.098,75.31268153505093
0.11,-0.06,0.12,51.389540334034784,113.3781308978084,161.23908684547888,47.860955947670476,-72.0,65.0,1.296,1.17,75.1065909225016
0.11,-0.07,0.12,47.52880770915151,110.33228740803455,159.51595664743394,49.183669239399414,-77.0,65.0,1.386,1.17,76.02631123499285
0.11,-0.08,0.12,43.97262661489639,106.98322596997387,157.48263263254333,50.49940666256946,-96.0,67.0,1.728,1.206,75.16648189186454
0.11,-0.09,0.12,40.71059313749964,103.3776328317195,155.12900328134117,51.751370449621675,-105.0,66.0,1.89,1.188,76.6550715869472
0.11,-0.1,0.12,37.72631099390626,99.55673522845954,152.44580322609056,52.889067997631024,-122.0,67.0,2.196,1.206,76.48529270389177
0.1,-0.11,0.12,32.27368900609373,99.55673522845954,152.44580322609056,52.889067997631024,-136.0,52.0,2.448,0.936,75.58438992278762
0.09,-0.13,0.12,24.695153531233963,94.08380395514153,148.2577740429466,54.17397008780505,-164.0,33.0,2.952,0.594,77.89736837660179
0.08,-0.13,0.12,21.6075022462489,97.24366133222938,150.7256931098296,53.482031777600206,-165.0,17.0,2.97,0.306,81.30190649671138
0.07,-0.13,0.12,18.300755766006382,100.14660790798169,152.87285289520293,52.72624498722122,-163.0,2.0,2.934,0.036,81.60882305241266
0.06,-0.15,0.12,11.801409486351815,92.10497830575517,146.6422365812282,54.537258275473015,-189.0,-12.0,3.402,-0.216,78.5175139698144
0.05,-0.15,0.12,8.43494882292201,94.08380395514153,148.2577740429466,54.17397008780505,-187.0,-30.0,3.366,-0.54,80.72174428244226
0.05,-0.16,0.12,7.354024636261329,88.62367714064925,143.66804214062938,55.044364999980125,-201.0,-26.0,3.618,-0.468,79.98124780221924
0.06,-0.16,0.12,10.556045219583467,86.76615186515883,142.01181052023685,55.24565865507803,-203.0,-8.0,3.654,-0.144,77.83315488916018
0.07,-0.16,0.12,13.629377730656813,84.61712771296452,140.03522620892144,55.418098495956926,-207.0,6.0,3.726,0.108,78.74642849044012
0.08,-0.16,0.12,16.56505117707799,82.19302892489164,137.72759367742165,55.53456475253002,-211.0,19.0,3.798,0.342,80.0
0.09,-0.16,0.12,19.357753542791265,79.50832530726561,135.07512834163586,55.566803034370245,-212.0,38.0,3.816,0.684,79.07591289387686
0.1,-0.16,0.12,22.0053832080835,76.57405280956132,132.05973324379266,55.48568043423134,-213.0,57.0,3.834,1.026,78.77182237323191
0.11,-0.15,0.12,26.25383773744479,78.11049018055616,133.6538000853714,55.54330990481523,-202.0,71.0,3.636,1.278,79.30952023559341
0.12,-0.14,0.12,30.601294645004465,79.0406995289464,134.60271324166598,55.56201371271956,-189.0,83.0,3.402,1.494,80.00624975587844
0.13,-0.13,0.12,35.0,79.35225781502139,134.9178056429377,55.565547827916305,-172.0,103.0,3.096,1.854,79.83107164506812
0.14,-0.12,0.12,39.398705354995535,79.0406995289464,134.60271324166598,55.56201371271956,-160.0,114.0,2.88,2.052,79.76214641043707
0.15,-0.11,0.12,43.74616226255521,78.11049018055616,133.6538000853714,55.54330990481523,-145.0,130.0,2.61,2.34,79.1012010022604
0.16,-0.1,0.12,47.994616791916506,76.57405280956132,132.05973324379266,55.48568043423134,-133.0,143.0,2.394,2.574,76.00657866263946
0.16,-0.09,0.12,50.64224645720873,79.50832530726561,135.07512834163586,55.566803034370245,-117.0,143.0,2.106,2.574,78.31347265956222
0.16,-0.08,0.12,53.43494882292201,82.19302892489164,137.72759367742165,55.53456475253002,-106.0,143.0,1.908,2.574,78.5175139698144
0.16,-0.07,0.12,56.37062226934319,84.61712771296452,140.03522620892144,55.418098495956926,-92.0,140.0,1.656,2.52,77.10382610480494
0.16,-0.06,0.12,59.44395478041653,86.76615186515883,142.01181052023685,55.24565865507803,-77.0,141.0,1.386,2.538,76.15773105863909
0.16,-0.05,0.12,62.64597536373868,88.62367714064925,143.66804214062938,55.044364999980125,-67.0,140.0,1.206,2.52,76.24303246854758
