t0,t1,t2,t3,t4,t5 ,x,y,z
0.55466,1.9098,-1.751,0.015687,0,0,0.12604467987103377,0.07808913054622232,0.12
0.59558,1.8645,-1.7172,0.027188,0,0,0.12648825238356223,0.08571698758742241,0.12
0.59558,1.8645,-1.7172,0.027188,0,0,0.12648825238356223,0.08571698758742241,0.12
-0.034315,2.3322,-1.9906,-0.16702,0,0,0.10686647028509182,-0.0036685629753595086,0.12
-0.43122,2.3501,-1.9978,-0.17772,0,0,0.09556386915704203,-0.043968788784777564,0.12
-0.73675,2.2449,-1.9521,-0.1183,0,0,0.08546546968650957,-0.07752978843802659,0.12
-0.73675,2.2449,-1.9521,-0.1183,0,0,0.08546546968650957,-0.07752978843802659,0.12
-0.81257,2.1708,-1.9149,-0.081389,0,0,0.08429452465820586,-0.08900453766803545,0.12
-0.81257,2.1708,-1.9149,-0.081389,0,0,0.08429452465820586,-0.08900453766803545,0.12
-0.53707,1.8452,-1.7023,0.031592,0,0,0.132943790940354,-0.07916188538632596,0.12
-0.36238,1.6765,-1.5595,0.057487,0,0,0.1605401904882999,-0.06086439666796978,0.12
-0.3669,1.7,-1.5807,0.055252,0,0,0.15805300210554524,-0.06073993876332432,0.12
-0.38132,1.7332,-1.61,0.051328,0,0,0.154057969267654,-0.06176863537916794,0.12
0.046449,1.8083,-1.673,0.039206,0,0,0.15825691333041994,0.007356166461626554,0.12
0.28453,1.6639,-1.5479,0.058502,0,0,0.1660045040360233,0.04855056219456668,0.12
0.37945,1.5713,-1.4588,0.062019,0,0,0.16929035531884695,0.06750878170095341,0.12
0.39305,1.5627,-1.4502,0.061992,0,0,0.16915128096400692,0.07013430733173853,0.12
0.43794,1.521,-1.4075,0.061013,0,0,0.16959535743610835,0.07941580668254428,0.12
0.030409,1.7532,-1.6272,0.04855,0,0,0.16389008317544804,0.0049852702725928745,0.12
-0.1126,1.8928,-1.7385,0.020185,0,0,0.1490192696199219,-0.01685084597126103,0.12
0.074256,1.9514,-1.7806,0.0037098,0,0,0.1437390961775118,0.01069315140090586,0.12
