x,y,z,t0,t1,t2,t3,x0,y0,x1,y1,x2,y2,x3,y3,xc,yc,diagonal,b64_image,width,height
0.1,-0.08,0.12,41.34019174590991,111.72057693828101,160.31616249362438,48.59558555534336,358.0,258.0,371.0,237.0,414.0,273.0,401.0,296.0,386.0,265.0,57.97413216254298,,640,480
0.1,-0.09,0.12,38.01278750418334,107.86007569564381,158.0291339974189,50.16905830177512,369.0,256.0,383.0,237.0,423.0,276.0,410.0,297.0,396.0,266.0,57.584720195551874,,640,480
0.09,-0.09,0.12,35.0,112.18991039678934,160.58106686338743,48.39115646659811,366.0,270.0,385.0,249.0,425.0,292.0,406.0,315.0,395.0,281.0,62.96824596572466,,640,480
0.08,-0.09,0.12,31.633539336570202,116.32127325085426,162.79131414791703,46.47004089706277,363.0,281.0,385.0,260.0,421.0,304.0,400.0,328.0,392.0,292.0,62.39390995922599,,640,480
0.07,-0.09,0.12,27.874983651098205,120.19852829231573,164.66865798218828,44.470129689872564,364.0,292.0,389.0,273.0,421.0,322.0,396.0,343.0,392.0,307.0,64.41273166075166,,640,480
0.06,-0.09,0.12,23.690067525979785,123.75820663832417,166.22569495565563,42.46748831733146,362.0,301.0,389.0,282.0,418.0,333.0,390.0,353.0,390.0,317.0,64.4980619863884,,640,480
0.05,-0.09,0.12,19.05460409907714,126.93189152893574,167.47975837422098,40.54786684528523,364.0,308.0,393.0,293.0,416.0,347.0,387.0,364.0,390.0,327.0,65.0,,640,480
0.05,-0.08,0.12,22.0053832080835,132.1659034852314,169.2699045712968,37.104001086065395,352.0,307.0,382.0,289.0,409.0,341.0,379.0,361.0,380.0,324.0,66.37017402418047,,640,480
0.06,-0.08,0.12,26.869897645844013,128.7311692405338,168.1343989399437,39.403229699409906,353.0,301.0,379.0,282.0,410.0,330.0,383.0,352.0,381.0,315.0,63.953107821277925,,640,480
0.07,-0.08,0.12,31.185925165709648,124.89427231794797,166.68914579943367,41.794873481485695,355.0,292.0,377.0,271.0,412.0,316.0,388.0,339.0,383.0,304.0,61.84658438426491,,640,480
0.08,-0.08,0.12,35.0,120.73353678071834,164.9128354063405,44.179298625622145,356.0,280.0,375.0,258.0,413.0,299.0,395.0,323.0,384.0,289.0,60.08327554319921,,640,480
0.09,-0.08,0.12,38.3664606634298,116.32127325085426,162.79131414791703,46.47004089706277,356.0,270.0,373.0,249.0,414.0,288.0,397.0,312.0,385.0,279.0,60.728905802755904,,640,480
0.09,-0.07,0.12,42.125016348901795,120.19852829231573,164.66865798218828,44.470129689872564,338.0,278.0,358.0,251.0,403.0,288.0,384.0,317.0,370.0,283.0,65.76473218982953,,640,480
0.09,-0.06,0.12,46.309932474020215,123.75820663832417,166.22569495565563,42.46748831733146,328.0,279.0,346.0,250.0,393.0,283.0,377.0,313.0,360.0,281.0,65.12296062065974,,640,480
0.09,-0.05,0.12,50.945395900922854,126.93189152893574,167.47975837422098,40.54786684528523,319.0,279.0,334.0,249.0,384.0,277.0,371.0,308.0,351.0,278.0,65.03076195155643,,640,480
0.09,-0.04,0.12,56.037511025421814,129.6499665765463,168.45288589358708,38.8029193170408,307.0,284.0,321.0,250.0,373.0,273.0,362.0,308.0,340.0,278.0,66.91038783328041,,640,480
0.09,-0.03,0.12,61.56505117707799,131.84600996281682,169.1705264916102,37.32451652879335,298.0,285.0,307.0,251.0,362.0,267.0,355.0,302.0,330.0,276.0,66.48308055437865,,640,480
0.09,-0.02,0.12,67.47119229084849,133.46151314909193,169.658871680743,36.197358531651105,291.0,291.0,297.0,256.0,355.0,267.0,348.0,304.0,323.0,279.0,68.35202996254024,,640,480
0.09,-0.01,0.12,73.6598082540901,134.45050516927688,169.9410873899123,35.49058222063542,282.0,292.0,286.0,256.0,344.0,261.0,342.0,298.0,313.0,276.0,69.31810730249349,,640,480
0.09,0.0,0.12,80.0,134.78354996815568,170.0332386717305,35.249688703574826,271.0,295.0,268.0,259.0,326.0,254.0,330.0,290.0,298.0,274.0,68.60029154456998,,640,480
0.09,0.01,0.12,86.3401917459099,134.45050516927688,169.9410873899123,35.49058222063542,266.0,297.0,261.0,262.0,318.0,253.0,323.0,289.0,292.0,275.0,68.11754546370561,,640,480
0.09,0.02,0.12,92.52880770915151,133.46151314909193,169.658871680743,36.197358531651105,257.0,302.0,248.0,268.0,303.0,252.0,314.0,286.0,280.0,277.0,67.94115100585212,,640,480
0.09,0.03,0.12,98.43494882292201,131.84600996281682,169.1705264916102,37.32451652879335,248.0,304.0,236.0,273.0,288.0,249.0,302.0,280.0,268.0,276.0,68.00735254367721,,640,480
0.09,0.04,0.12,103.96248897457818,129.6499665765463,168.45288589358708,38.8029193170408,242.0,304.0,228.0,275.0,278.0,248.0,294.0,276.0,260.0,276.0,66.57326790837296,,640,480
0.09,0.05,0.12,109.05460409907715,126.93189152893574,167.47975837422098,40.54786684528523,233.0,309.0,217.0,283.0,262.0,250.0,281.0,275.0,247.0,279.0,65.7419196555744,,640,480
0.09,0.06,0.12,113.69006752597979,123.75820663832417,166.22569495565563,42.46748831733146,226.0,311.0,209.0,286.0,251.0,250.0,272.0,273.0,238.0,280.0,65.92419889539804,,640,480
0.09,0.07,0.12,117.8749836510982,120.19852829231573,164.66865798218828,44.470129689872564,215.0,311.0,198.0,289.0,237.0,249.0,257.0,270.0,226.0,280.0,65.7875368135941,,640,480
0.09,0.08,0.12,121.63353933657021,116.32127325085426,162.79131414791703,46.47004089706277,205.0,311.0,188.0,293.0,225.0,250.0,244.0,268.0,215.0,280.0,64.19501538281614,,640,480
0.09,0.09,0.12,125.0,112.18991039678934,160.58106686338743,48.39115646659811,193.0,315.0,162.0,291.0,198.0,243.0,231.0,267.0,195.0,279.0,72.17340230306452,,640,480
0.08,0.09,0.12,128.3664606634298,116.32127325085426,162.79131414791703,46.47004089706277,204.0,336.0,167.0,315.0,197.0,262.0,236.0,281.0,200.0,299.0,74.33034373659252,,640,480
0.07,0.09,0.12,132.1250163489018,120.19852829231573,164.66865798218828,44.470129689872564,213.0,347.0,174.0,329.0,201.0,274.0,241.0,291.0,207.0,310.0,73.97972695272672,,640,480
0.06,0.09,0.12,136.30993247402023,123.75820663832417,166.22569495565563,42.46748831733146,219.0,357.0,179.0,342.0,202.0,286.0,242.0,299.0,210.0,321.0,73.00684899377592,,640,480
0.05,0.09,0.12,140.94539590092285,126.93189152893574,167.47975837422098,40.54786684528523,225.0,365.0,184.0,354.0,202.0,296.0,244.0,306.0,213.0,330.0,72.73238618387272,,640,480
0.05,0.08,0.12,137.99461679191648,132.1659034852314,169.2699045712968,37.104001086065395,236.0,373.0,188.0,358.0,211.0,289.0,259.0,304.0,223.0,331.0,87.64131445842195,,640,480
0.06,0.08,0.12,133.13010235415598,128.7311692405338,168.1343989399437,39.403229699409906,222.0,356.0,184.0,340.0,207.0,285.0,246.0,299.0,214.0,320.0,72.56721022610694,,640,480
0.07,0.08,0.12,128.81407483429035,124.89427231794797,166.68914579943367,41.794873481485695,217.0,342.0,181.0,322.0,211.0,269.0,247.0,289.0,214.0,305.0,73.24616030891995,,640,480
0.08,0.08,0.12,125.0,120.73353678071834,164.9128354063405,44.179298625622145,210.0,331.0,175.0,309.0,207.0,259.0,243.0,280.0,208.0,295.0,72.06247289678588,,640,480
0.08,0.07,0.12,121.18592516570965,124.89427231794797,166.68914579943367,41.794873481485695,223.0,334.0,190.0,309.0,229.0,260.0,262.0,287.0,226.0,297.0,74.24284477308234,,640,480
