x,y,z,xe,ye,ze
0.12621,-0.0429,0.12,-0.012479,-0.016923,0.0
0.11493,-0.05445,0.12,-0.0061134,-0.013066,0.0
0.14968,-0.0064167,0.12,-0.026128,-0.038019,0.0
0.12621,-0.0429,0.12,-0.012479,-0.016923,0.0
0.11493,-0.05445,0.12,-0.0061134,-0.013066,0.0
0.11374,-0.058392,0.12,-0.0073762,-0.012971,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.10558,-0.071592,0.12,-0.019252,0.006874,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.07515,-0.055642,0.12,-0.019442,0.044052,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.07515,-0.055642,0.12,-0.019442,0.044052,0.0
0.058008,-0.012375,0.12,-0.0088217,0.022103,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.07515,-0.055642,0.12,-0.019442,0.044052,0.0
0.058008,-0.012375,0.12,-0.0088217,0.022103,0.0
0.0548,0.0033,0.12,-0.0088742,0.017087,0.0
0.07515,-0.055642,0.12,-0.019442,0.044052,0.0
0.058008,-0.012375,0.12,-0.0088217,0.022103,0.0
0.0548,0.0033,0.12,-0.0088742,0.017087,0.0
0.049942,0.012008,0.12,-0.0056462,0.013708,0.0
0.058008,-0.012375,0.12,-0.0088217,0.022103,0.0
0.0548,0.0033,0.12,-0.0088742,0.017087,0.0
0.049942,0.012008,0.12,-0.0056462,0.013708,0.0
0.048658,0.016867,0.12,-0.0051781,0.011515,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.044442,0.026308,0.12,0.035263,-0.048311,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.044442,0.026308,0.12,0.035263,-0.048311,0.0
0.070292,-0.022092,0.12,0.027933,-0.026435,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.044442,0.026308,0.12,0.035263,-0.048311,0.0
0.070292,-0.022092,0.12,0.027933,-0.026435,0.0
0.092475,-0.046292,0.12,0.01501,-0.015497,0.0
0.044442,0.026308,0.12,0.035263,-0.048311,0.0
0.070292,-0.022092,0.12,0.027933,-0.026435,0.0
0.092475,-0.046292,0.12,0.01501,-0.015497,0.0
0.10476,-0.060225,0.12,0.0073565,-0.0081951,0.0
0.070292,-0.022092,0.12,0.027933,-0.026435,0.0
0.092475,-0.046292,0.12,0.01501,-0.015497,0.0
0.10476,-0.060225,0.12,0.0073565,-0.0081951,0.0
0.10778,-0.064167,0.12,0.0066465,-0.007569,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.11347,-0.068658,0.12,-0.022707,0.0051834,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
